,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2016-01-01,7.1,5.5,8.9,0.0,0.0,308.0,15.0,,1023.2,,ATLANTA GA
2016-01-02,5.7,2.8,8.9,0.0,0.0,303.0,9.9,,1024.1,,ATLANTA GA
2016-01-03,6.8,2.2,12.8,0.0,0.0,299.0,7.2,,1018.8,,ATLANTA GA
2016-01-04,4.6,0.5,7.8,0.0,0.0,333.0,14.5,,1021.7,,ATLANTA GA
2016-01-05,2.6,-2.2,7.8,0.0,0.0,82.0,8.0,,1031.7,,ATLANTA GA
2016-01-06,3.9,-1.7,9.4,0.0,0.0,90.0,10.2,,1029.9,,ATLANTA GA
2016-01-07,11.3,6.1,16.7,0.0,0.0,73.0,11.8,,1021.3,,ATLANTA GA
2016-01-08,11.8,10.5,14.4,5.3,0.0,75.0,9.4,,1015.9,,ATLANTA GA
2016-01-09,11.3,10.5,12.2,9.4,0.0,,10.5,,1011.7,,ATLANTA GA
2016-01-10,6.2,0.5,11.7,1.9,0.0,287.0,15.9,,1013.4,,ATLANTA GA
2016-01-11,0.8,-3.9,7.8,0.0,0.0,,7.3,,1023.2,,ATLANTA GA
2016-01-12,4.9,-2.8,12.8,0.0,0.0,,8.9,,1021.0,,ATLANTA GA
2016-01-13,4.7,0.0,11.1,0.0,0.0,,7.3,,1023.0,,ATLANTA GA
2016-01-14,6.2,-1.7,16.1,0.0,0.0,217.0,3.3,,1020.0,,ATLANTA GA
2016-01-15,7.9,3.3,11.7,36.8,0.0,308.0,8.7,,1006.9,,ATLANTA GA
2016-01-16,11.1,7.8,15.5,0.0,0.0,284.0,8.2,,1009.3,,ATLANTA GA
2016-01-17,5.5,2.8,9.4,3.3,0.0,305.0,14.3,,1013.8,,ATLANTA GA
2016-01-18,0.9,-2.5,3.1,0.0,0.0,298.0,14.9,,1023.8,,ATLANTA GA
2016-01-19,-1.0,-5.6,4.4,0.0,0.0,317.0,9.0,,1029.9,,ATLANTA GA
2016-01-20,2.5,-0.6,7.2,1.5,0.0,,5.3,,1025.1,,ATLANTA GA
2016-01-21,7.2,3.9,11.1,17.8,0.0,,6.6,,1020.8,,ATLANTA GA
2016-01-22,5.7,1.1,8.3,49.3,0.0,82.0,16.3,,,,ATLANTA GA
2016-01-23,-0.2,-1.7,1.7,0.0,0.0,323.0,26.5,,1013.0,,ATLANTA GA
2016-01-24,2.4,-3.3,12.8,0.0,0.0,299.0,5.7,,1021.0,,ATLANTA GA
2016-01-25,5.5,-3.3,15.0,0.0,0.0,,3.1,,1023.4,,ATLANTA GA
2016-01-26,8.6,2.8,16.1,2.8,0.0,,1.9,,1021.5,,ATLANTA GA
2016-01-27,7.8,5.0,11.1,2.8,0.0,,8.4,,1019.2,,ATLANTA GA
2016-01-28,7.5,3.9,12.8,0.0,0.0,294.0,4.3,,1014.3,,ATLANTA GA
2016-01-29,8.5,3.6,14.7,0.0,0.0,280.0,9.7,,1014.4,,ATLANTA GA
2016-01-30,9.1,-0.6,20.5,0.0,0.0,,4.7,,1018.7,,ATLANTA GA
2016-01-31,12.7,3.9,21.1,0.0,0.0,165.0,5.1,,1017.3,,ATLANTA GA
2016-02-01,17.0,12.2,21.7,0.8,0.0,204.0,8.8,,,,ATLANTA GA
2016-02-02,17.7,11.7,25.5,0.3,0.0,,10.7,,,,ATLANTA GA
2016-02-03,17.0,12.2,21.1,53.1,0.0,233.0,11.6,,1013.4,,ATLANTA GA
2016-02-04,8.7,4.4,13.3,0.0,0.0,305.0,17.7,,1019.3,,ATLANTA GA
2016-02-05,4.9,0.0,10.5,0.0,0.0,316.0,13.8,,1027.9,,ATLANTA GA
2016-02-06,4.6,-2.2,11.7,0.0,0.0,,4.5,,1026.9,,ATLANTA GA
2016-02-07,6.6,-1.7,14.4,0.0,0.0,307.0,6.9,,1019.4,,ATLANTA GA
2016-02-08,6.5,2.2,12.8,0.0,0.0,248.0,15.0,,1010.7,,ATLANTA GA
2016-02-09,2.1,-1.1,4.4,0.0,0.0,285.0,19.0,,,,ATLANTA GA
2016-02-10,0.0,-3.9,3.9,0.0,0.0,299.0,18.4,,1020.2,,ATLANTA GA
2016-02-11,5.7,-1.7,13.3,0.0,0.0,,3.3,,1021.9,,ATLANTA GA
2016-02-12,8.5,1.1,17.8,0.0,0.0,2.0,8.8,,1020.2,,ATLANTA GA
2016-02-13,2.8,0.0,6.1,0.0,0.0,321.0,17.1,,1027.2,,ATLANTA GA
2016-02-14,4.0,-1.7,10.0,0.0,0.0,93.0,10.3,,1026.4,,ATLANTA GA
2016-02-15,5.6,2.8,11.1,7.2,0.0,95.0,14.7,,1016.9,,ATLANTA GA
2016-02-16,10.8,6.1,16.7,2.5,0.0,264.0,11.1,,1009.8,,ATLANTA GA
2016-02-17,8.2,5.0,11.1,0.0,0.0,313.0,13.9,,1020.8,,ATLANTA GA
2016-02-18,7.9,0.0,17.2,0.0,0.0,,3.0,,1029.3,,ATLANTA GA
2016-02-19,11.9,2.8,19.4,0.0,0.0,130.0,10.6,,1028.2,,ATLANTA GA
2016-02-20,13.0,6.7,18.3,0.0,0.0,215.0,4.7,,1023.3,,ATLANTA GA
2016-02-21,15.7,11.7,19.4,1.0,0.0,,6.5,,1018.5,,ATLANTA GA
2016-02-22,16.8,15.0,18.3,38.6,0.0,,5.2,,,,ATLANTA GA
2016-02-23,14.5,11.7,16.1,31.2,0.0,93.0,11.1,,,,ATLANTA GA
2016-02-24,13.2,6.7,18.3,22.9,0.0,218.0,23.2,,,,ATLANTA GA
2016-02-25,8.1,5.5,11.7,0.0,0.0,288.0,20.6,,1016.1,,ATLANTA GA
2016-02-26,7.1,3.9,12.2,0.0,0.0,310.0,15.6,,1023.4,,ATLANTA GA
2016-02-27,7.7,1.1,16.1,0.0,0.0,303.0,5.2,,1024.0,,ATLANTA GA
2016-02-28,10.7,0.5,21.1,0.0,0.0,236.0,6.1,,1021.5,,ATLANTA GA
2016-02-29,15.5,8.3,22.8,0.0,0.0,258.0,9.8,,1018.3,,ATLANTA GA
2016-03-01,15.5,8.3,22.2,12.2,0.0,225.0,12.7,,1015.4,,ATLANTA GA
2016-03-02,8.8,5.0,12.2,0.0,0.0,311.0,14.7,,1018.7,,ATLANTA GA
2016-03-03,5.7,2.8,10.0,29.5,0.0,63.0,8.8,,1018.0,,ATLANTA GA
2016-03-04,8.0,5.0,12.8,0.0,0.0,322.0,11.2,,1018.4,,ATLANTA GA
2016-03-05,9.6,1.1,18.3,0.0,0.0,,3.4,,1020.8,,ATLANTA GA
2016-03-06,12.7,6.7,20.5,0.0,0.0,,6.1,,1023.1,,ATLANTA GA
2016-03-07,13.0,3.3,22.2,0.0,0.0,146.0,6.5,,1024.7,,ATLANTA GA
2016-03-08,15.8,6.7,24.4,0.0,0.0,148.0,5.3,,1023.3,,ATLANTA GA
2016-03-09,18.6,10.0,25.5,0.0,0.0,146.0,11.4,,1021.4,,ATLANTA GA
2016-03-10,21.6,16.1,26.7,0.5,0.0,157.0,14.1,,1020.6,,ATLANTA GA
2016-03-11,21.5,16.7,26.7,0.0,0.0,201.0,6.2,,1021.0,,ATLANTA GA
2016-03-12,21.8,16.7,26.1,0.0,0.0,155.0,7.7,,1018.6,,ATLANTA GA
2016-03-13,23.1,18.2,26.5,0.0,0.0,,15.5,,,,ATLANTA GA
2016-03-14,19.2,12.2,25.5,0.0,0.0,219.0,9.9,,1009.7,,ATLANTA GA
2016-03-15,20.8,11.1,30.5,0.0,0.0,,9.7,,1011.1,,ATLANTA GA
2016-03-16,22.3,14.4,27.2,0.0,0.0,258.0,15.9,,1012.7,,ATLANTA GA
2016-03-17,18.0,9.4,25.5,0.0,0.0,317.0,5.5,,1014.2,,ATLANTA GA
2016-03-18,18.7,10.0,25.0,0.0,0.0,,4.0,,1013.2,,ATLANTA GA
2016-03-19,18.4,15.0,22.2,0.0,0.0,255.0,12.4,,1011.5,,ATLANTA GA
2016-03-20,10.5,6.7,14.4,0.0,0.0,311.0,21.2,,1015.4,,ATLANTA GA
2016-03-21,8.7,3.3,15.0,0.0,0.0,306.0,16.6,,1023.3,,ATLANTA GA
2016-03-22,11.2,0.5,21.1,0.0,0.0,,5.6,,1024.7,,ATLANTA GA
2016-03-23,14.3,4.4,23.9,0.0,0.0,213.0,7.7,,1021.6,,ATLANTA GA
2016-03-24,18.6,10.5,24.4,5.6,0.0,,12.5,,1014.2,,ATLANTA GA
2016-03-25,18.9,14.4,23.9,0.0,0.0,279.0,9.7,,1011.4,,ATLANTA GA
2016-03-26,15.3,10.5,20.5,0.5,0.0,82.0,5.8,,1018.1,,ATLANTA GA
2016-03-27,18.4,17.2,20.0,3.6,0.0,116.0,6.2,,1018.4,,ATLANTA GA
2016-03-28,18.3,12.8,22.2,0.0,0.0,286.0,11.0,,1015.7,,ATLANTA GA
2016-03-29,15.6,8.3,23.3,0.0,0.0,,6.6,,1019.3,,ATLANTA GA
2016-03-30,16.2,7.8,23.9,0.0,0.0,115.0,9.2,,1021.2,,ATLANTA GA
2016-03-31,20.4,18.3,22.8,4.3,0.0,150.0,13.2,,1012.7,,ATLANTA GA
2016-04-01,20.2,17.2,22.8,35.2,0.0,202.0,8.3,,1009.0,,ATLANTA GA
2016-04-02,15.7,12.2,18.9,0.0,0.0,294.0,16.8,,1011.0,,ATLANTA GA
2016-04-03,14.5,9.4,21.1,0.0,0.0,315.0,9.9,,1018.8,,ATLANTA GA
2016-04-04,16.1,5.5,26.1,0.0,0.0,,6.9,,1018.8,,ATLANTA GA
2016-04-05,15.7,10.0,20.5,0.0,0.0,312.0,14.2,,1021.6,,ATLANTA GA
2016-04-06,14.5,6.7,21.1,0.0,0.0,128.0,15.7,,1020.1,,ATLANTA GA
2016-04-07,16.4,10.0,22.8,0.0,0.0,252.0,14.8,,1009.7,,ATLANTA GA
2016-04-08,14.2,10.5,17.8,0.0,0.0,288.0,17.0,,1013.0,,ATLANTA GA
2016-04-09,12.1,7.2,17.2,0.0,0.0,301.0,15.6,,1018.9,,ATLANTA GA
2016-04-10,10.4,2.8,17.8,0.0,0.0,105.0,8.3,,1025.0,,ATLANTA GA
2016-04-11,15.6,8.3,23.3,6.6,0.0,124.0,6.1,,1022.4,,ATLANTA GA
2016-04-12,18.2,15.0,21.7,2.0,0.0,276.0,10.2,,1018.7,,ATLANTA GA
2016-04-13,15.7,9.4,19.4,0.0,0.0,81.0,10.5,,1020.8,,ATLANTA GA
2016-04-14,17.6,14.4,21.7,0.3,0.0,93.0,10.4,,1019.9,,ATLANTA GA
2016-04-15,17.0,13.9,20.0,0.0,0.0,95.0,17.3,,1021.3,,ATLANTA GA
2016-04-16,18.4,13.3,23.9,0.0,0.0,90.0,14.8,,1024.3,,ATLANTA GA
2016-04-17,16.4,7.2,25.0,0.0,0.0,95.0,7.5,,1027.3,,ATLANTA GA
2016-04-18,17.9,7.2,27.8,0.0,0.0,,6.2,,1025.8,,ATLANTA GA
2016-04-19,19.5,8.9,28.9,0.0,0.0,,1.9,,1021.8,,ATLANTA GA
2016-04-20,22.5,15.3,29.7,0.0,0.0,,5.6,,1017.9,,ATLANTA GA
2016-04-21,20.5,14.7,28.1,1.8,0.0,153.0,10.8,,1017.4,,ATLANTA GA
2016-04-22,19.6,17.2,23.9,7.1,0.0,,6.6,,,,ATLANTA GA
2016-04-23,19.6,14.4,25.0,0.0,0.0,321.0,11.2,,1014.0,,ATLANTA GA
2016-04-24,19.6,11.1,27.2,0.0,0.0,,4.3,,1016.6,,ATLANTA GA
2016-04-25,21.5,14.4,27.2,0.0,0.0,172.0,7.3,,1015.8,,ATLANTA GA
2016-04-26,22.5,15.5,28.9,0.0,0.0,218.0,6.8,,1013.2,,ATLANTA GA
2016-04-27,22.8,15.0,28.9,0.0,0.0,212.0,8.1,,1010.7,,ATLANTA GA
2016-04-28,24.0,20.0,30.0,0.0,0.0,232.0,9.1,,1012.5,,ATLANTA GA
2016-04-29,23.3,15.5,31.1,0.0,0.0,,2.3,,1014.6,,ATLANTA GA
2016-04-30,24.1,18.3,31.1,17.1,0.0,149.0,7.4,,1013.3,,ATLANTA GA
2016-05-01,22.9,18.3,28.3,5.3,0.0,192.0,4.5,,1015.4,,ATLANTA GA
2016-05-02,24.1,19.4,28.9,1.5,0.0,,6.9,,1014.6,,ATLANTA GA
2016-05-03,21.4,17.8,25.5,0.3,0.0,279.0,10.2,,1011.2,,ATLANTA GA
2016-05-04,17.5,12.2,22.2,0.5,0.0,297.0,12.1,,1008.5,,ATLANTA GA
2016-05-05,14.4,11.1,19.4,0.5,0.0,310.0,17.6,,1008.3,0.0,ATLANTA GA
2016-05-06,15.3,9.4,21.7,0.0,0.0,317.0,14.4,,1012.6,,ATLANTA GA
2016-05-07,19.0,8.3,27.8,0.0,0.0,275.0,9.4,,1014.5,,ATLANTA GA
2016-05-08,23.2,13.3,31.1,0.0,0.0,270.0,8.9,,1015.0,,ATLANTA GA
2016-05-09,21.1,15.0,27.2,0.0,0.0,214.0,7.2,,1017.6,,ATLANTA GA
2016-05-10,23.1,16.7,28.9,0.0,0.0,181.0,7.9,,1019.0,,ATLANTA GA
2016-05-11,24.2,16.7,30.5,0.0,0.0,221.0,8.3,,1019.9,,ATLANTA GA
2016-05-12,23.9,18.9,30.0,1.5,0.0,260.0,4.8,,1018.3,,ATLANTA GA
2016-05-13,21.9,17.2,26.1,5.9,0.0,305.0,11.5,,1016.3,,ATLANTA GA
2016-05-14,20.9,11.7,28.3,0.0,0.0,287.0,14.1,,1014.6,,ATLANTA GA
2016-05-15,16.1,11.1,22.2,0.0,0.0,340.0,10.7,,1018.9,,ATLANTA GA
2016-05-16,18.3,9.4,26.1,0.0,0.0,82.0,6.2,,1020.9,,ATLANTA GA
2016-05-17,21.1,17.8,24.4,20.1,0.0,,10.4,,1018.0,,ATLANTA GA
2016-05-18,23.0,19.4,28.3,0.0,0.0,137.0,4.5,,1014.9,,ATLANTA GA
2016-05-19,22.0,17.2,27.2,0.9,0.0,,8.7,,1015.3,,ATLANTA GA
2016-05-20,19.2,17.8,20.5,2.0,0.0,81.0,13.7,,1017.6,,ATLANTA GA
2016-05-21,21.9,17.8,27.8,1.8,0.0,,11.9,,1015.5,,ATLANTA GA
2016-05-22,20.5,15.5,26.1,0.0,0.0,324.0,13.7,,1014.2,,ATLANTA GA
2016-05-23,21.2,12.2,28.3,0.0,0.0,,5.7,,1014.7,,ATLANTA GA
2016-05-24,22.2,13.9,30.5,0.0,0.0,330.0,4.6,,1019.0,,ATLANTA GA
2016-05-25,24.0,15.5,31.7,0.0,0.0,,5.1,,1021.6,,ATLANTA GA
2016-05-26,25.3,18.9,31.7,0.3,0.0,,4.8,,1019.7,,ATLANTA GA
2016-05-27,25.4,19.4,30.5,0.0,0.0,149.0,6.9,,1017.6,,ATLANTA GA
2016-05-28,25.2,18.3,31.1,0.0,0.0,116.0,6.5,,1018.7,,ATLANTA GA
2016-05-29,25.3,17.8,32.2,0.0,0.0,340.0,5.9,,1018.1,,ATLANTA GA
2016-05-30,26.6,18.9,33.9,0.0,0.0,,5.4,,1014.8,,ATLANTA GA
2016-05-31,27.1,18.9,34.4,0.0,0.0,,4.3,,1012.9,,ATLANTA GA
2016-06-01,26.2,20.5,33.3,0.0,0.0,,8.4,,1014.8,,ATLANTA GA
2016-06-02,26.5,20.5,32.2,1.5,0.0,133.0,2.8,,1016.7,,ATLANTA GA
2016-06-03,27.7,20.5,34.4,0.0,0.0,,5.8,,1016.2,,ATLANTA GA
2016-06-04,27.0,21.1,31.7,0.0,0.0,212.0,9.1,,1014.2,,ATLANTA GA
2016-06-05,24.9,22.2,28.9,0.3,0.0,227.0,7.8,,1012.1,,ATLANTA GA
2016-06-06,25.1,21.1,28.9,26.7,0.0,,3.0,,1010.0,,ATLANTA GA
2016-06-07,26.7,21.1,33.3,0.0,0.0,307.0,9.1,,1008.0,,ATLANTA GA
2016-06-08,24.3,18.3,30.5,0.0,0.0,320.0,8.4,,1012.6,,ATLANTA GA
2016-06-09,23.6,13.9,32.2,0.0,0.0,,5.5,,1015.6,,ATLANTA GA
2016-06-10,27.0,17.8,35.0,0.0,0.0,,4.9,,1017.3,,ATLANTA GA
2016-06-11,28.3,18.9,35.0,0.0,0.0,,5.5,,1018.8,,ATLANTA GA
2016-06-12,29.4,25.5,35.0,0.0,0.0,278.0,8.3,,1017.5,,ATLANTA GA
2016-06-13,30.4,23.9,36.7,0.0,0.0,293.0,10.8,,1013.6,,ATLANTA GA
2016-06-14,27.3,23.9,34.4,29.2,0.0,258.0,5.8,,1012.4,,ATLANTA GA
2016-06-15,27.8,23.1,32.0,0.0,0.0,248.0,10.8,,1013.3,,ATLANTA GA
2016-06-16,28.5,22.8,35.0,0.0,0.0,286.0,9.7,,1011.9,,ATLANTA GA
2016-06-17,26.6,22.8,34.4,0.5,0.0,280.0,10.9,,1010.1,,ATLANTA GA
2016-06-18,25.5,22.2,28.3,0.0,0.0,82.0,14.2,,1017.9,,ATLANTA GA
2016-06-19,25.3,20.5,30.0,0.0,0.0,89.0,10.1,,1025.1,,ATLANTA GA
2016-06-20,24.5,16.1,31.7,0.0,0.0,,3.0,,1024.6,,ATLANTA GA
2016-06-21,27.3,18.3,33.9,0.0,0.0,277.0,6.9,,1019.5,,ATLANTA GA
2016-06-22,29.1,23.9,33.9,0.0,0.0,250.0,9.3,,1018.0,,ATLANTA GA
2016-06-23,29.3,22.8,34.4,0.0,0.0,253.0,10.0,,1017.5,,ATLANTA GA
2016-06-24,30.0,25.0,35.5,0.0,0.0,268.0,9.9,,1016.5,,ATLANTA GA
2016-06-25,30.9,24.4,37.8,0.0,0.0,328.0,5.3,,1017.0,,ATLANTA GA
2016-06-26,27.1,23.3,31.7,7.1,0.0,85.0,10.2,,1019.2,,ATLANTA GA
2016-06-27,27.7,22.8,35.0,8.7,0.0,274.0,7.3,,1017.3,,ATLANTA GA
2016-06-28,26.9,23.3,31.7,0.0,0.0,,5.4,,1014.3,,ATLANTA GA
2016-06-29,28.2,21.1,34.4,0.0,0.0,,4.9,,1013.8,,ATLANTA GA
2016-06-30,28.9,22.2,35.0,0.0,0.0,,6.5,,1013.6,,ATLANTA GA
2016-07-01,29.4,25.0,35.0,0.0,0.0,,10.1,,1014.7,,ATLANTA GA
2016-07-02,29.6,22.2,37.2,0.0,0.0,260.0,6.1,,1015.6,,ATLANTA GA
2016-07-03,29.1,22.8,36.7,10.2,0.0,,4.0,,1015.2,,ATLANTA GA
2016-07-04,29.7,24.4,35.5,0.8,0.0,228.0,9.6,,1016.3,,ATLANTA GA
2016-07-05,27.2,25.0,32.2,21.6,0.0,244.0,10.4,,1017.4,,ATLANTA GA
2016-07-06,25.4,22.2,31.1,14.8,0.0,239.0,8.3,,1017.9,,ATLANTA GA
2016-07-07,28.7,22.8,35.0,0.0,0.0,,11.5,,1016.3,,ATLANTA GA
2016-07-08,31.0,26.7,36.1,0.0,0.0,259.0,10.9,,1015.9,,ATLANTA GA
2016-07-09,30.3,25.5,35.0,0.0,0.0,281.0,10.0,,1015.8,,ATLANTA GA
2016-07-10,28.3,23.3,33.3,0.0,0.0,277.0,5.3,,1016.0,,ATLANTA GA
2016-07-11,27.2,23.9,33.3,4.1,0.0,251.0,7.7,,1017.7,,ATLANTA GA
2016-07-12,27.2,21.1,34.4,0.0,0.0,,6.7,,1018.9,,ATLANTA GA
2016-07-13,28.7,22.8,34.4,0.0,0.0,,7.7,,1019.4,,ATLANTA GA
2016-07-14,29.3,22.8,35.5,0.8,0.0,,7.3,,1017.3,,ATLANTA GA
2016-07-15,28.2,22.2,33.9,0.0,0.0,269.0,6.9,,1016.2,,ATLANTA GA
2016-07-16,27.6,22.8,33.3,0.0,0.0,239.0,7.1,,1017.6,,ATLANTA GA
2016-07-17,27.9,22.2,34.4,0.0,0.0,184.0,4.7,,1020.8,,ATLANTA GA
2016-07-18,28.8,23.9,33.9,0.0,0.0,,5.8,,1022.6,,ATLANTA GA
2016-07-19,29.2,23.9,37.8,10.2,0.0,,4.8,,1020.7,,ATLANTA GA
2016-07-20,29.2,22.2,36.1,0.0,0.0,,5.0,,1020.4,,ATLANTA GA
2016-07-21,28.3,23.9,35.0,20.9,0.0,,6.8,,1019.5,,ATLANTA GA
2016-07-22,28.4,22.2,33.9,0.0,0.0,,6.4,,1018.1,,ATLANTA GA
2016-07-23,29.1,24.4,34.4,0.0,0.0,230.0,5.7,,1015.7,,ATLANTA GA
2016-07-24,29.3,23.9,36.1,0.0,0.0,,3.8,,1016.1,,ATLANTA GA
2016-07-25,29.3,23.9,36.7,0.5,0.0,,5.6,,1016.1,,ATLANTA GA
2016-07-26,30.0,24.4,36.1,0.0,0.0,,5.3,,1016.1,,ATLANTA GA
2016-07-27,29.7,25.8,34.7,0.0,0.0,235.0,14.6,,,,ATLANTA GA
2016-07-28,27.6,23.9,31.1,0.0,0.0,241.0,11.4,,1015.8,,ATLANTA GA
2016-07-29,28.2,23.9,33.3,0.0,0.0,275.0,8.0,,1015.2,,ATLANTA GA
2016-07-30,26.9,24.4,31.1,17.0,0.0,250.0,10.7,,1015.6,,ATLANTA GA
2016-07-31,26.3,22.2,32.8,14.5,0.0,,3.5,,1016.8,,ATLANTA GA
2016-08-01,27.0,23.3,32.8,0.0,0.0,,7.9,,1018.4,,ATLANTA GA
2016-08-02,26.3,24.4,32.2,1.0,0.0,252.0,6.8,,1017.7,,ATLANTA GA
2016-08-03,28.5,23.9,34.4,0.0,0.0,,4.9,,1015.5,,ATLANTA GA
2016-08-04,28.5,25.0,33.9,0.0,0.0,,5.9,,1014.5,,ATLANTA GA
2016-08-05,28.4,24.4,35.0,0.0,0.0,,4.6,,1014.3,,ATLANTA GA
2016-08-06,29.7,23.9,36.1,0.0,0.0,283.0,7.7,,1012.6,,ATLANTA GA
2016-08-07,29.5,25.0,35.0,0.0,0.0,,4.4,,1011.3,,ATLANTA GA
2016-08-08,28.8,25.0,32.8,5.6,0.0,93.0,10.0,,1012.3,,ATLANTA GA
2016-08-09,28.0,25.5,31.7,2.0,0.0,107.0,11.6,,1014.8,,ATLANTA GA
2016-08-10,27.8,25.0,31.7,3.6,0.0,111.0,11.6,,1018.0,,ATLANTA GA
2016-08-11,29.1,25.5,33.9,0.0,0.0,117.0,11.5,,1018.3,,ATLANTA GA
2016-08-12,29.6,25.0,34.4,0.0,0.0,138.0,9.5,,1015.0,,ATLANTA GA
2016-08-13,28.3,24.4,33.9,0.0,0.0,189.0,8.6,,1016.1,,ATLANTA GA
2016-08-14,28.8,22.8,35.0,0.0,0.0,190.0,5.6,,1018.6,,ATLANTA GA
2016-08-15,28.9,23.9,34.4,0.0,0.0,,7.1,,1020.5,,ATLANTA GA
2016-08-16,28.0,22.8,34.4,0.0,0.0,,3.8,,1021.4,,ATLANTA GA
2016-08-17,29.4,23.9,35.0,0.8,0.0,,7.3,,1020.7,,ATLANTA GA
2016-08-18,28.0,23.9,36.1,1.0,0.0,,3.9,,1018.1,,ATLANTA GA
2016-08-19,26.7,23.3,32.8,21.6,0.0,,5.3,,1016.2,,ATLANTA GA
2016-08-20,27.0,23.3,32.2,0.5,0.0,,7.7,,1012.9,,ATLANTA GA
2016-08-21,27.2,23.3,33.3,8.9,0.0,244.0,10.0,,1014.1,,ATLANTA GA
2016-08-22,27.0,22.8,31.7,0.0,0.0,326.0,5.7,,1019.1,,ATLANTA GA
2016-08-23,27.5,21.1,33.9,0.0,0.0,,3.3,,1022.3,,ATLANTA GA
2016-08-24,26.3,23.9,31.1,20.3,0.0,,4.6,,,,ATLANTA GA
2016-08-25,27.7,21.7,34.4,0.0,0.0,,3.7,,1020.4,,ATLANTA GA
2016-08-26,29.0,23.3,35.0,0.0,0.0,,3.2,,1017.9,,ATLANTA GA
2016-08-27,28.9,23.3,34.4,0.0,0.0,91.0,6.1,,1017.7,,ATLANTA GA
2016-08-28,28.7,23.9,34.4,0.0,0.0,74.0,8.4,,1018.8,,ATLANTA GA
2016-08-29,28.4,22.8,33.3,0.0,0.0,66.0,10.0,,1018.4,,ATLANTA GA
2016-08-30,27.7,21.7,33.3,0.0,0.0,81.0,8.0,,1017.0,,ATLANTA GA
2016-08-31,27.9,21.7,34.4,0.0,0.0,80.0,4.3,,1013.9,,ATLANTA GA
2016-09-01,27.8,22.2,33.3,0.0,0.0,,4.0,,1011.4,,ATLANTA GA
2016-09-02,25.5,23.9,30.0,42.9,0.0,52.0,11.2,,1011.1,,ATLANTA GA
2016-09-03,24.6,20.5,28.3,0.0,0.0,130.0,6.6,,1017.4,,ATLANTA GA
2016-09-04,24.9,19.4,31.7,0.0,0.0,92.0,8.4,,1020.6,,ATLANTA GA
2016-09-05,25.4,19.4,32.2,0.0,0.0,,2.6,,1022.4,,ATLANTA GA
2016-09-06,25.8,18.9,34.4,0.0,0.0,,2.4,,1022.4,,ATLANTA GA
2016-09-07,26.5,19.4,34.4,0.0,0.0,241.0,2.3,,1021.0,,ATLANTA GA
2016-09-08,27.1,20.5,35.0,0.0,0.0,262.0,5.0,,1017.9,,ATLANTA GA
2016-09-09,27.5,21.7,35.0,0.0,0.0,,4.7,,1017.0,,ATLANTA GA
2016-09-10,27.1,19.4,34.4,0.0,0.0,,5.3,,1017.3,,ATLANTA GA
2016-09-11,27.8,22.2,32.8,0.0,0.0,,5.7,,1017.8,,ATLANTA GA
2016-09-12,26.5,22.2,34.4,0.0,0.0,,4.0,,1018.3,,ATLANTA GA
2016-09-13,26.2,21.1,32.2,0.0,0.0,88.0,7.7,,1019.3,,ATLANTA GA
2016-09-14,27.6,21.7,34.4,0.0,0.0,82.0,7.2,,1018.7,,ATLANTA GA
2016-09-15,27.1,20.0,35.0,0.0,0.0,107.0,4.2,,1017.7,,ATLANTA GA
2016-09-16,26.8,20.5,32.8,0.0,0.0,115.0,8.0,,1019.2,,ATLANTA GA
2016-09-17,26.3,21.4,30.8,0.0,0.0,137.0,10.9,,1018.6,,ATLANTA GA
2016-09-18,24.5,23.6,26.4,0.0,0.0,,4.3,,1016.2,,ATLANTA GA
2016-09-19,26.6,23.1,32.5,0.0,0.0,,8.1,,1014.3,,ATLANTA GA
2016-09-20,25.6,20.0,33.3,0.0,0.0,,3.8,,1016.7,,ATLANTA GA
2016-09-21,26.1,20.5,33.3,0.0,0.0,,3.5,,1017.4,,ATLANTA GA
2016-09-22,25.9,20.0,32.8,0.0,0.0,53.0,6.6,,1017.0,,ATLANTA GA
2016-09-23,26.0,20.5,32.8,0.0,0.0,,3.0,,1017.1,,ATLANTA GA
2016-09-24,26.4,20.0,34.4,0.0,0.0,,2.2,,1017.3,,ATLANTA GA
2016-09-25,26.4,19.4,34.4,0.0,0.0,,3.1,,1017.1,,ATLANTA GA
2016-09-26,26.3,20.5,32.2,0.0,0.0,135.0,4.8,,1016.6,,ATLANTA GA
2016-09-27,24.9,20.5,31.7,1.5,0.0,213.0,2.9,,1012.9,,ATLANTA GA
2016-09-28,24.0,18.3,31.1,0.0,0.0,267.0,4.1,,1012.2,,ATLANTA GA
2016-09-29,19.8,15.0,25.5,0.0,0.0,295.0,7.9,,1014.8,,ATLANTA GA
2016-09-30,17.7,12.8,24.4,0.0,0.0,291.0,4.9,,1016.8,,ATLANTA GA
2016-10-01,18.3,11.1,26.1,0.0,0.0,,2.1,,1017.9,,ATLANTA GA
2016-10-02,19.7,12.8,27.2,0.0,0.0,,2.3,,1017.5,,ATLANTA GA
2016-10-03,21.5,13.9,30.0,0.0,0.0,,2.4,,1015.3,,ATLANTA GA
2016-10-04,23.6,17.2,30.0,0.0,0.0,95.0,10.0,,1016.7,,ATLANTA GA
2016-10-05,22.5,17.8,28.3,0.0,0.0,68.0,11.9,,1019.3,,ATLANTA GA
